,Saves   ,Penalties saved   ,Punches   ,High Claims   ,Catches   ,Sweeper clearances   ,Throw outs   ,Goal Kicks   ,Clean sheets   ,Goals conceded   ,Errors leading to goal   ,Own goals   ,Yellow cards   ,Red cards   ,Fouls   ,Goals   ,Assists   ,Passes   ,Passes per match   ,Accurate long balls   ,Appearances,Tackles   ,Tackle success %   ,Last man tackles   ,Blocked shots   ,Interceptions   ,Clearances   ,Headed Clearance   ,Clearances off line   ,Recoveries   ,Duels won   ,Duels lost   ,Successful 50/50s   ,Aerial battles won   ,Aerial battles lost   ,Big chances created   ,Crosses   ,Cross accuracy %   ,Through balls   ,Offsides   ,Headed goals   ,Goals with right foot   ,Goals with left foot   ,Hit woodwork   ,Goals per match   ,Penalties scored   ,Freekicks scored   ,Shots   ,Shots on target   ,Shooting accuracy %   ,Big chances missed   
Hugo Lloris,81,1,10,12,2,1,97,150,6,21,2,0,0,0,0,0,0,474,22.57,122,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Vorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Gazzaniga,59,1,3,7,7,9,63,142,2,26,1,0,1,0,1,0,0,456,25.33,76,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieran Trippier,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Danny Rose,,,,,,,,,4,28,2,0,7,0,25,0,0,837,36.39,20,23,39,59%,0,1,18,41,19,0,95,113,82,15,20,18,1,45,22%,1,0,0,0,0,0,,,,,,,
Toby Alderweireld,,,,,,,,,7,39,0,1,7,0,18,2,2,"1,978",59.94,141,33,40,73%,0,3,31,170,82,1,154,117,109,0,73,73,2,9,44%,12,1,1,1,0,0,,,,,,,
Jan Vertonghen,,,,,,,,,4,24,0,0,2,0,7,1,1,"1,101",47.87,40,23,40,60%,0,1,33,66,32,0,108,121,52,5,59,25,2,19,5%,0,0,1,0,0,0,,,,,,,
Davinson Sánchez,,,,,,,,,4,37,0,0,6,0,27,0,0,"1,544",53.24,64,29,44,61%,3,0,34,121,54,0,144,117,101,8,53,46,0,2,0%,0,1,0,0,0,0,,,,,,,
Kyle Walker-Peters,,,,,,,,,2,12,0,0,1,0,7,0,0,532,40.92,14,13,21,62%,0,2,17,22,10,0,75,77,53,22,9,19,2,19,5%,0,2,0,0,0,0,,,,,,,
Juan Foyth,,,,,,,,,0,3,1,0,1,0,2,0,0,56,14.00,2,4,7,43%,0,0,1,2,1,0,9,12,7,2,3,1,0,0,0%,0,0,0,0,0,0,,,,,,,
Serge Aurier,,,,,,,,,6,32,1,1,2,1,41,1,5,"1,281",38.82,33,33,93,74%,0,6,47,84,48,0,165,224,187,39,70,64,4,137,15%,0,6,0,0,1,0,,,,,,,
Ben Davies,,,,,,,,,4,19,0,0,6,0,27,0,0,796,44.22,25,18,28,54%,0,4,22,41,24,0,61,90,80,9,45,21,2,29,34%,1,1,0,0,0,1,,,,,,,
Timothy Eyoma,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Harry Winks,,,,,,,,,,,0,,9,0,24,0,0,"1,694",54.65,78,31,40,60%,,4,36,30,9,,162,92,90,15,14,8,1,28,21%,5,0,0,0,0,0,0.00,0,0,14,2,14%,0
Erik Lamela,,,,,,,,,,,0,,3,0,30,2,1,541,21.64,17,25,24,83%,,10,8,9,5,,74,86,123,30,6,18,0,49,14%,2,1,0,0,2,0,0.08,0,0,29,10,34%,1
Victor Wanyama,,,,,,,,,,,0,,1,0,1,0,0,19,9.50,1,2,0,0%,,0,0,0,0,,4,3,1,1,1,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Eric Dier,,,,,,,,,,,0,,5,0,19,0,2,914,48.11,47,19,21,57%,,0,21,61,37,,59,95,75,4,66,42,0,3,0%,3,1,0,0,0,1,0.00,0,0,8,1,13%,2
Moussa Sissoko,,,,,,,,,,,0,,8,0,44,2,1,"1,246",42.97,36,29,39,64%,,3,27,35,15,,204,121,144,40,26,26,1,23,9%,3,2,0,2,0,1,0.07,0,0,15,4,27%,3
Dele Alli,,,,,,,,,,,0,,2,0,12,8,4,810,32.40,17,25,34,47%,,7,17,14,8,,103,115,150,29,19,40,6,7,0%,4,6,0,6,2,0,0.32,1,0,42,19,45%,7
Christian Eriksen,,,,,,,,,,,0,,5,0,9,2,2,674,33.70,30,20,19,47%,,11,12,14,5,,82,31,52,0,6,10,3,72,15%,5,2,0,1,1,0,0.10,0,1,26,9,35%,0
Lucas Moura,,,,,,,,,,,,,3,0,30,4,4,773,22.09,,35,57,,,21,15,25,18,,,,,,,,6,21,,,5,1,2,1,0,0.11,0,0,56,14,25%,6
Luke Amos,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
George Marsh,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Oliver Skipp,,,,,,,,,,,0,,0,0,1,0,0,38,5.43,2,7,2,100%,,0,0,0,0,,5,2,7,0,0,2,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Son Heung-Min,,,,,,,,,,,,,0,1,17,11,10,797,26.57,,30,23,,,19,19,17,10,,,,,,,,12,77,,,17,1,6,4,3,0.37,0,0,81,38,47%,6
Vincent Janssen,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Harry Kane,,,,,,,,,,,,,4,0,37,18,2,553,19.07,,29,18,,,19,6,30,28,,,,,,,,4,19,,,20,4,12,2,1,0.62,2,0,81,37,46%,7
Fernando Llorente,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Kazaiah Sterling,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Georges-Kévin Nkoudou,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,1,0,0%,,1,0,0,0,,0,0,1,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,1,0,0%,0
Mousa Dembélé,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Josh Onomah,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Cameron Carter-Vickers,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Jack Clarke,,,,,,,,,,,,,0,0,0,0,0,0,0.00,,0,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Tanguy Ndombele,,,,,,,,,,,0,,3,0,14,2,2,632,30.10,19,21,24,67%,,3,14,6,1,,79,97,70,38,7,9,1,12,17%,4,0,0,1,1,0,0.10,0,0,9,4,44%,0
Jonathan De Bie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japhet Tanganga,,,,,,,,,2,7,1,0,1,0,8,0,0,201,33.50,6,6,17,53%,0,1,11,29,21,1,27,45,32,6,18,11,0,2,0%,0,0,0,0,0,0,,,,,,,
Brooklyn Lyons-Foster,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Anthony Georgiou,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jack Roles,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Jamie Bowden,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Harvey White,,,,,,,,,,,0,,0,0,0,0,0,0,0.00,0,0,0,0%,,0,0,0,0,,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0.00,0,0,0,0,0%,0
Troy Parrott,,,,,,,,,,,,,0,0,0,0,0,4,2.00,,2,0,,,0,0,0,0,,,,,,,,0,0,,,0,0,0,0,0,0.00,0,0,0,0,0%,0
Brandon Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovani Lo Celso,,,,,,,,,,,0,,6,0,28,0,2,965,34.46,42,28,51,57%,,6,9,17,8,,123,136,145,32,8,22,1,57,21%,8,0,0,0,0,0,0.00,0,0,18,3,17%,1
Ryan Sessegnon,,,,,,,,,,,0,,0,0,4,0,0,159,26.50,4,6,6,67%,,1,3,10,8,,18,18,15,4,6,5,0,13,8%,0,2,0,0,0,0,0.00,0,0,1,0,0%,0
Dennis Cirkin,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
Gedson Fernandes,,,,,,,,,,,0,,0,0,0,0,0,39,5.57,0,7,2,0%,,1,1,0,0,,7,6,9,2,0,1,0,7,29%,0,0,0,0,0,0,0.00,0,0,1,0,0%,0
Steven Bergwijn,,,,,,,,,,,,,2,0,7,3,1,244,17.43,,14,10,,,3,1,5,1,,,,,,,,1,10,,,0,0,3,0,0,0.21,0,0,9,4,44%,0
Malachi Fagan-Walcott,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,,,,,,,
